




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of secondary heart field cardioblast proliferation (GO:0072513)	4	1	.06	+	16.49	7.25E-02	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	101	4	1.53	+	2.61	7.25E-02	1.00E00
hemopoiesis (GO:0030097)	529	8	8.02	-	1.00	1.00E00	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	433	6	6.56	-	.91	1.00E00	1.00E00
regulation of cell cycle phase transition (GO:1901987)	433	6	6.56	-	.91	1.00E00	1.00E00
response to bacterium (GO:0009617)	604	9	9.16	-	.98	1.00E00	1.00E00
negative regulation of cell proliferation (GO:0008285)	666	10	10.10	-	.99	1.00E00	1.00E00
regulation of cell adhesion (GO:0030155)	643	9	9.75	-	.92	1.00E00	1.00E00
G-protein coupled receptor signaling pathway (GO:0007186)	1310	19	19.86	-	.96	1.00E00	1.00E00
regulation of translation (GO:0006417)	416	6	6.31	-	.95	1.00E00	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	1540	23	23.35	-	.99	1.00E00	1.00E00
positive regulation of branching involved in lung morphogenesis (GO:0061047)	4	1	.06	+	16.49	7.25E-02	1.00E00
protein-containing complex assembly (GO:0065003)	1528	23	23.16	-	.99	1.00E00	1.00E00
nervous system process (GO:0050877)	1324	20	20.07	-	1.00	1.00E00	1.00E00
cell part morphogenesis (GO:0032990)	514	7	7.79	-	.90	1.00E00	1.00E00
neuron projection development (GO:0031175)	663	10	10.05	-	.99	1.00E00	1.00E00
cardiovascular system development (GO:0072358)	505	7	7.66	-	.91	1.00E00	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	491	7	7.44	-	.94	1.00E00	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	408	6	6.19	-	.97	1.00E00	1.00E00
positive regulation of nervous system development (GO:0051962)	496	7	7.52	-	.93	1.00E00	1.00E00
vasculature development (GO:0001944)	496	7	7.52	-	.93	1.00E00	1.00E00
cell projection morphogenesis (GO:0048858)	494	7	7.49	-	.93	1.00E00	1.00E00
epidermis development (GO:0008544)	410	6	6.22	-	.97	1.00E00	1.00E00
establishment of protein localization to organelle (GO:0072594)	413	6	6.26	-	.96	1.00E00	1.00E00
signal transduction by protein phosphorylation (GO:0023014)	413	6	6.26	-	.96	1.00E00	1.00E00
interleukin-8 secretion (GO:0072606)	4	1	.06	+	16.49	7.25E-02	1.00E00
neuron projection morphogenesis (GO:0048812)	487	7	7.38	-	.95	1.00E00	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	1097	16	16.63	-	.96	1.00E00	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	1210	18	18.34	-	.98	1.00E00	1.00E00
negative regulation of phosphorylation (GO:0042326)	451	6	6.84	-	.88	1.00E00	1.00E00
phagocytosis (GO:0006909)	307	4	4.65	-	.86	1.00E00	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	401	6	6.08	-	.99	1.00E00	1.00E00
regulation of cell morphogenesis (GO:0022604)	479	7	7.26	-	.96	1.00E00	1.00E00
blood vessel development (GO:0001568)	473	7	7.17	-	.98	1.00E00	1.00E00
regulation of cell-cell adhesion (GO:0022407)	381	5	5.78	-	.87	1.00E00	1.00E00
negative regulation of molecular function (GO:0044092)	1143	17	17.33	-	.98	1.00E00	1.00E00
regulation of defense response (GO:0031347)	822	12	12.46	-	.96	1.00E00	1.00E00
microtubule cytoskeleton organization (GO:0000226)	470	7	7.13	-	.98	1.00E00	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	823	12	12.48	-	.96	1.00E00	1.00E00
negative regulation of nucleic acid-templated transcription (GO:1903507)	1208	18	18.31	-	.98	1.00E00	1.00E00
cardiac neural crest cell migration involved in outflow tract morphogenesis (GO:0003253)	4	1	.06	+	16.49	7.25E-02	1.00E00
peptidyl-lysine modification (GO:0018205)	306	4	4.64	-	.86	1.00E00	1.00E00
regulation of DNA metabolic process (GO:0051052)	379	5	5.75	-	.87	1.00E00	1.00E00
Wnt signaling pathway (GO:0016055)	356	5	5.40	-	.93	1.00E00	1.00E00
regulation of binding (GO:0051098)	356	5	5.40	-	.93	1.00E00	1.00E00
cell-cell signaling by wnt (GO:0198738)	356	5	5.40	-	.93	1.00E00	1.00E00
MAPK cascade (GO:0000165)	370	5	5.61	-	.89	1.00E00	1.00E00
enzyme linked receptor protein signaling pathway (GO:0007167)	729	11	11.05	-	1.00	1.00E00	1.00E00
regulation of cellular amide metabolic process (GO:0034248)	460	6	6.97	-	.86	1.00E00	1.00E00
chromatin organization (GO:0006325)	705	10	10.69	-	.94	1.00E00	1.00E00
hemostasis (GO:0007599)	301	4	4.56	-	.88	1.00E00	1.00E00
negative regulation of catalytic activity (GO:0043086)	827	12	12.54	-	.96	1.00E00	1.00E00
coagulation (GO:0050817)	298	4	4.52	-	.89	1.00E00	1.00E00
negative regulation of cell development (GO:0010721)	302	4	4.58	-	.87	1.00E00	1.00E00
response to light stimulus (GO:0009416)	295	4	4.47	-	.89	1.00E00	1.00E00
epoxide metabolic process (GO:0097176)	4	1	.06	+	16.49	7.25E-02	1.00E00
regulation of protein kinase activity (GO:0045859)	800	12	12.13	-	.99	1.00E00	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	257	3	3.90	-	.77	1.00E00	1.00E00
blood coagulation (GO:0007596)	296	4	4.49	-	.89	1.00E00	1.00E00
cell surface receptor signaling pathway (GO:0007166)	2432	36	36.87	-	.98	1.00E00	1.00E00
process utilizing autophagic mechanism (GO:0061919)	262	3	3.97	-	.76	1.00E00	1.00E00
autophagy (GO:0006914)	262	3	3.97	-	.76	1.00E00	1.00E00
negative regulation of metabolic process (GO:0009892)	2792	42	42.33	-	.99	1.00E00	1.00E00
regulation of protein stability (GO:0031647)	252	3	3.82	-	.79	1.00E00	1.00E00
DNA conformation change (GO:0071103)	260	3	3.94	-	.76	1.00E00	1.00E00
signaling (GO:0023052)	5592	85	84.78	+	1.00	1.00E00	1.00E00
cellular component organization or biogenesis (GO:0071840)	5795	88	87.85	+	1.00	1.00E00	1.00E00
negative regulation of gene expression (GO:0010629)	1669	25	25.30	-	.99	1.00E00	1.00E00
regulation of chromatin organization (GO:1902275)	169	2	2.56	-	.78	1.00E00	1.00E00
nucleobase-containing compound transport (GO:0015931)	239	3	3.62	-	.83	1.00E00	1.00E00
L-lysine metabolic process (GO:0046440)	4	1	.06	+	16.49	7.25E-02	1.00E00
protein-DNA complex subunit organization (GO:0071824)	239	3	3.62	-	.83	1.00E00	1.00E00
anion transmembrane transport (GO:0098656)	244	3	3.70	-	.81	1.00E00	1.00E00
calcium ion transport (GO:0006816)	240	3	3.64	-	.82	1.00E00	1.00E00
second-messenger-mediated signaling (GO:0019932)	259	3	3.93	-	.76	1.00E00	1.00E00
membrane docking (GO:0022406)	181	2	2.74	-	.73	1.00E00	1.00E00
antigen processing and presentation of exogenous antigen (GO:0019884)	181	2	2.74	-	.73	1.00E00	1.00E00
regulation of protein maturation (GO:1903317)	178	2	2.70	-	.74	1.00E00	1.00E00
negative regulation of multi-organism process (GO:0043901)	178	2	2.70	-	.74	1.00E00	1.00E00
adenylate cyclase-modulating G-protein coupled receptor signaling pathway (GO:0007188)	185	6	2.80	+	2.14	6.74E-02	1.00E00
regulation of macroautophagy (GO:0016241)	166	2	2.52	-	.79	1.00E00	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	177	2	2.68	-	.75	1.00E00	1.00E00
double-strand break repair (GO:0006302)	164	2	2.49	-	.80	1.00E00	1.00E00
cellular response to radiation (GO:0071478)	164	2	2.49	-	.80	1.00E00	1.00E00
cellular response to toxic substance (GO:0097237)	194	2	2.94	-	.68	1.00E00	1.00E00
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	175	2	2.65	-	.75	1.00E00	1.00E00
negative regulation of Wnt signaling pathway involved in heart development (GO:0003308)	4	1	.06	+	16.49	7.25E-02	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	168	2	2.55	-	.79	1.00E00	1.01E00
fertilization (GO:0009566)	168	2	2.55	-	.79	1.00E00	1.01E00
negative regulation of cell-cell adhesion (GO:0022408)	155	2	2.35	-	.85	1.00E00	1.01E00
negative regulation of MAPK cascade (GO:0043409)	157	2	2.38	-	.84	1.00E00	1.01E00
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	247	3	3.74	-	.80	1.00E00	1.01E00
cell junction assembly (GO:0034329)	156	2	2.36	-	.85	1.00E00	1.01E00
macroautophagy (GO:0016236)	156	2	2.36	-	.85	1.00E00	1.01E00
chromatin assembly or disassembly (GO:0006333)	156	2	2.36	-	.85	1.00E00	1.01E00
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	156	2	2.36	-	.85	1.00E00	1.01E00
epithelial cell development (GO:0002064)	182	2	2.76	-	.72	1.00E00	1.01E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	159	2	2.41	-	.83	1.00E00	1.01E00
regulation of mRNA catabolic process (GO:0061013)	184	2	2.79	-	.72	1.00E00	1.01E00
regulation of protein processing (GO:0070613)	176	2	2.67	-	.75	1.00E00	1.01E00
prostate gland morphogenetic growth (GO:0060737)	4	1	.06	+	16.49	7.25E-02	1.01E00
protein processing (GO:0016485)	171	2	2.59	-	.77	1.00E00	1.01E00
negative regulation of DNA binding transcription factor activity (GO:0043433)	171	2	2.59	-	.77	1.00E00	1.01E00
response to interleukin-1 (GO:0070555)	196	2	2.97	-	.67	1.00E00	1.01E00
cell development (GO:0048468)	1572	33	23.83	+	1.38	6.76E-02	1.01E00
immunoglobulin mediated immune response (GO:0016064)	188	2	2.85	-	.70	1.00E00	1.01E00
protein localization to plasma membrane (GO:0072659)	163	2	2.47	-	.81	1.00E00	1.01E00
nuclear export (GO:0051168)	163	2	2.47	-	.81	1.00E00	1.01E00
organelle localization by membrane tethering (GO:0140056)	172	2	2.61	-	.77	1.00E00	1.01E00
regulation of phosphatase activity (GO:0010921)	173	2	2.62	-	.76	1.00E00	1.01E00
peptidyl-serine phosphorylation (GO:0018105)	173	2	2.62	-	.76	1.00E00	1.01E00
positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	28	2	.42	+	4.71	7.36E-02	1.01E00
cellular response to interleukin-1 (GO:0071347)	173	2	2.62	-	.76	1.00E00	1.01E00
B cell mediated immunity (GO:0019724)	189	2	2.87	-	.70	1.00E00	1.01E00
gastrulation (GO:0007369)	160	2	2.43	-	.82	1.00E00	1.01E00
cellular modified amino acid metabolic process (GO:0006575)	183	2	2.77	-	.72	1.00E00	1.01E00
peptidyl-tyrosine phosphorylation (GO:0018108)	190	2	2.88	-	.69	1.00E00	1.01E00
epithelial cell proliferation involved in mammary gland duct elongation (GO:0060750)	4	1	.06	+	16.49	7.25E-02	1.01E00
protein localization to cell periphery (GO:1990778)	190	2	2.88	-	.69	1.00E00	1.01E00
regulation of endocytosis (GO:0030100)	238	3	3.61	-	.83	1.00E00	1.01E00
antigen processing and presentation of peptide antigen (GO:0048002)	185	2	2.80	-	.71	1.00E00	1.01E00
regulation of mononuclear cell proliferation (GO:0032944)	206	3	3.12	-	.96	1.00E00	1.01E00
protein-DNA complex assembly (GO:0065004)	206	3	3.12	-	.96	1.00E00	1.01E00
protein export from nucleus (GO:0006611)	147	2	2.23	-	.90	1.00E00	1.01E00
mRNA transport (GO:0051028)	154	2	2.33	-	.86	1.00E00	1.01E00
regulation of acute inflammatory response (GO:0002673)	154	2	2.33	-	.86	1.00E00	1.01E00
actin filament organization (GO:0007015)	235	3	3.56	-	.84	1.00E00	1.01E00
response to increased oxygen levels (GO:0036296)	28	2	.42	+	4.71	7.36E-02	1.01E00
positive regulation of cytoskeleton organization (GO:0051495)	210	3	3.18	-	.94	1.00E00	1.01E00
complement activation, classical pathway (GO:0006958)	151	2	2.29	-	.87	1.00E00	1.01E00
viral life cycle (GO:0019058)	197	2	2.99	-	.67	1.00E00	1.01E00
protein autophosphorylation (GO:0046777)	197	3	2.99	+	1.00	1.00E00	1.01E00
regulation of neuron apoptotic process (GO:0043523)	197	3	2.99	+	1.00	1.00E00	1.01E00
paramesonephric duct development (GO:0061205)	4	1	.06	+	16.49	7.25E-02	1.01E00
cellular carbohydrate biosynthetic process (GO:0034637)	62	3	.94	+	3.19	7.33E-02	1.01E00
stress-activated protein kinase signaling cascade (GO:0031098)	145	2	2.20	-	.91	1.00E00	1.01E00
peptidyl-serine modification (GO:0018209)	208	3	3.15	-	.95	1.00E00	1.01E00
lymphocyte differentiation (GO:0030098)	224	3	3.40	-	.88	1.00E00	1.01E00
nucleosome organization (GO:0034728)	150	2	2.27	-	.88	1.00E00	1.01E00
placenta development (GO:0001890)	150	2	2.27	-	.88	1.00E00	1.01E00
skeletal muscle organ development (GO:0060538)	143	2	2.17	-	.92	1.00E00	1.01E00
B cell activation (GO:0042113)	141	2	2.14	-	.94	1.00E00	1.01E00
regulation of histone modification (GO:0031056)	141	2	2.14	-	.94	1.00E00	1.01E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	141	2	2.14	-	.94	1.00E00	1.01E00
regulation of cellular response to drug (GO:2001038)	28	2	.42	+	4.71	7.36E-02	1.01E00
regulation of humoral immune response (GO:0002920)	131	2	1.99	+	1.01	1.00E00	1.01E00
regulation of G-protein coupled receptor protein signaling pathway (GO:0008277)	142	2	2.15	-	.93	1.00E00	1.01E00
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	142	2	2.15	-	.93	1.00E00	1.01E00
regulation of protein polymerization (GO:0032271)	221	3	3.35	-	.90	1.00E00	1.01E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1754	26	26.59	-	.98	1.00E00	1.01E00
hormone biosynthetic process (GO:0042446)	62	3	.94	+	3.19	7.33E-02	1.01E00
nitrate metabolic process (GO:0042126)	4	1	.06	+	16.49	7.25E-02	1.01E00
regulation of protein binding (GO:0043393)	209	3	3.17	-	.95	1.00E00	1.01E00
gamete generation (GO:0007276)	661	16	10.02	+	1.60	7.33E-02	1.01E00
regulation of lymphocyte proliferation (GO:0050670)	205	3	3.11	-	.97	1.00E00	1.01E00
pyrimidine-containing compound metabolic process (GO:0072527)	84	1	1.27	-	.79	1.00E00	1.01E00
regulation of leukocyte proliferation (GO:0070663)	212	3	3.21	-	.93	1.00E00	1.01E00
negative regulation of neuron differentiation (GO:0045665)	212	3	3.21	-	.93	1.00E00	1.01E00
skeletal muscle tissue development (GO:0007519)	134	2	2.03	-	.98	1.00E00	1.01E00
positive regulation of lymphocyte proliferation (GO:0050671)	134	2	2.03	-	.98	1.00E00	1.01E00
organelle fusion (GO:0048284)	130	1	1.97	-	.51	1.00E00	1.01E00
positive regulation of ATP biosynthetic process (GO:2001171)	28	2	.42	+	4.71	7.36E-02	1.01E00
positive regulation of leukocyte mediated immunity (GO:0002705)	101	1	1.53	-	.65	1.00E00	1.01E00
inorganic anion transmembrane transport (GO:0098661)	101	1	1.53	-	.65	1.00E00	1.01E00
viral entry into host cell (GO:0046718)	92	1	1.39	-	.72	1.00E00	1.01E00
protein N-linked glycosylation (GO:0006487)	92	1	1.39	-	.72	1.00E00	1.01E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	104	1	1.58	-	.63	1.00E00	1.01E00
entry into host cell (GO:0030260)	104	1	1.58	-	.63	1.00E00	1.01E00
cell adhesion involved in heart morphogenesis (GO:0061343)	4	1	.06	+	16.49	7.25E-02	1.01E00
entry into host (GO:0044409)	104	1	1.58	-	.63	1.00E00	1.01E00
regulation of DNA biosynthetic process (GO:2000278)	104	1	1.58	-	.63	1.00E00	1.01E00
entry into cell of other organism involved in symbiotic interaction (GO:0051806)	104	1	1.58	-	.63	1.00E00	1.01E00
entry into other organism involved in symbiotic interaction (GO:0051828)	104	1	1.58	-	.63	1.00E00	1.01E00
regulation of chromosome segregation (GO:0051983)	104	1	1.58	-	.63	1.00E00	1.01E00
negative regulation of cell cycle G1/S phase transition (GO:1902807)	107	1	1.62	-	.62	1.00E00	1.01E00
mitotic DNA damage checkpoint (GO:0044773)	107	1	1.62	-	.62	1.00E00	1.01E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	107	1	1.62	-	.62	1.00E00	1.01E00
heart growth (GO:0060419)	28	2	.42	+	4.71	7.36E-02	1.01E00
phosphatidylinositol metabolic process (GO:0046488)	217	3	3.29	-	.91	1.00E00	1.01E00
regulation of gene expression (GO:0010468)	4746	58	71.95	-	.81	6.79E-02	1.01E00
cerebral cortex development (GO:0021987)	113	1	1.71	-	.58	1.00E00	1.01E00
mitotic DNA integrity checkpoint (GO:0044774)	113	1	1.71	-	.58	1.00E00	1.01E00
regulation of dendrite development (GO:0050773)	138	2	2.09	-	.96	1.00E00	1.01E00
positive regulation of leukocyte proliferation (GO:0070665)	138	2	2.09	-	.96	1.00E00	1.01E00
susceptibility to natural killer cell mediated cytotoxicity (GO:0042271)	4	1	.06	+	16.49	7.25E-02	1.01E00
regulation of reproductive process (GO:2000241)	138	2	2.09	-	.96	1.00E00	1.01E00
regulation of wound healing (GO:0061041)	126	1	1.91	-	.52	1.00E00	1.01E00
positive regulation of protein polymerization (GO:0032273)	126	1	1.91	-	.52	1.00E00	1.01E00
ribonucleoprotein complex localization (GO:0071166)	126	1	1.91	-	.52	1.00E00	1.01E00
cardiac cell development (GO:0055006)	60	3	.91	+	3.30	6.81E-02	1.01E00
positive regulation of epithelial cell migration (GO:0010634)	132	2	2.00	-	1.00	1.00E00	1.01E00
negative regulation of protein serine/threonine kinase activity (GO:0071901)	132	2	2.00	-	1.00	1.00E00	1.01E00
internal peptidyl-lysine acetylation (GO:0018393)	111	1	1.68	-	.59	1.00E00	1.01E00
negative regulation of chromosome organization (GO:2001251)	119	1	1.80	-	.55	1.00E00	1.01E00
cellular monovalent inorganic cation homeostasis (GO:0030004)	115	1	1.74	-	.57	1.00E00	1.01E00
calcium-mediated signaling (GO:0019722)	115	1	1.74	-	.57	1.00E00	1.01E00
B cell receptor signaling pathway (GO:0050853)	115	1	1.74	-	.57	1.00E00	1.01E00
positive regulation of histone modification (GO:0031058)	86	1	1.30	-	.77	1.00E00	1.01E00
regulation of calcium-mediated signaling (GO:0050848)	86	1	1.30	-	.77	1.00E00	1.01E00
cellular oxidant detoxification (GO:0098869)	86	1	1.30	-	.77	1.00E00	1.01E00
negative regulation of triglyceride catabolic process (GO:0010897)	4	1	.06	+	16.49	7.25E-02	1.01E00
organophosphate ester transport (GO:0015748)	91	1	1.38	-	.72	1.00E00	1.01E00
regulation of intracellular pH (GO:0051453)	91	1	1.38	-	.72	1.00E00	1.01E00
cardiac conduction (GO:0061337)	87	1	1.32	-	.76	1.00E00	1.01E00
regulation of organ growth (GO:0046620)	87	1	1.32	-	.76	1.00E00	1.01E00
regulation of blood vessel endothelial cell migration (GO:0043535)	87	1	1.32	-	.76	1.00E00	1.01E00
cellular response to corticosteroid stimulus (GO:0071384)	60	3	.91	+	3.30	6.81E-02	1.01E00
NIK/NF-kappaB signaling (GO:0038061)	87	1	1.32	-	.76	1.00E00	1.01E00
chloride transmembrane transport (GO:1902476)	87	1	1.32	-	.76	1.00E00	1.01E00
positive regulation of actin filament polymerization (GO:0030838)	93	1	1.41	-	.71	1.00E00	1.01E00
positive regulation of chromatin organization (GO:1905269)	93	1	1.41	-	.71	1.00E00	1.01E00
negative regulation of leukocyte differentiation (GO:1902106)	93	1	1.41	-	.71	1.00E00	1.01E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	93	1	1.41	-	.71	1.00E00	1.01E00
phagocytosis, recognition (GO:0006910)	93	1	1.41	-	.71	1.00E00	1.01E00
glial cell development (GO:0021782)	93	1	1.41	-	.71	1.00E00	1.01E00
negative regulation of lymphocyte activation (GO:0051250)	131	1	1.99	-	.50	1.00E00	1.01E00
canalicular bile acid transport (GO:0015722)	4	1	.06	+	16.49	7.25E-02	1.01E00
transition metal ion transport (GO:0000041)	112	1	1.70	-	.59	1.00E00	1.01E00
DNA-templated transcription, elongation (GO:0006354)	112	1	1.70	-	.59	1.00E00	1.01E00
viral gene expression (GO:0019080)	128	1	1.94	-	.52	1.00E00	1.01E00
negative regulation of gene expression, epigenetic (GO:0045814)	90	1	1.36	-	.73	1.00E00	1.01E00
midbrain development (GO:0030901)	90	1	1.36	-	.73	1.00E00	1.01E00
ncRNA transcription (GO:0098781)	90	1	1.36	-	.73	1.00E00	1.01E00
cellular detoxification (GO:1990748)	90	1	1.36	-	.73	1.00E00	1.01E00
cell-matrix adhesion (GO:0007160)	120	1	1.82	-	.55	1.00E00	1.01E00
negative regulation of protein catabolic process (GO:0042177)	116	1	1.76	-	.57	1.00E00	1.01E00
regulation of nucleocytoplasmic transport (GO:0046822)	116	1	1.76	-	.57	1.00E00	1.01E00
regulation of cell cycle arrest (GO:0071156)	116	1	1.76	-	.57	1.00E00	1.01E00
amino acid transport (GO:0006865)	116	1	1.76	-	.57	1.00E00	1.01E00
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	105	1	1.59	-	.63	1.00E00	1.01E00
mRNA export from nucleus (GO:0006406)	105	1	1.59	-	.63	1.00E00	1.01E00
sequestering of BMP in extracellular matrix (GO:0035582)	4	1	.06	+	16.49	7.25E-02	1.01E00
regulation of protein localization to nucleus (GO:1900180)	118	1	1.79	-	.56	1.00E00	1.01E00
positive regulation of endocytosis (GO:0045807)	135	2	2.05	-	.98	1.00E00	1.01E00
regulation of epithelial cell differentiation (GO:0030856)	135	2	2.05	-	.98	1.00E00	1.01E00
vesicle organization (GO:0016050)	339	1	5.14	-	.19	6.83E-02	1.01E00
chromatin assembly (GO:0031497)	135	2	2.05	-	.98	1.00E00	1.01E00
protein acetylation (GO:0006473)	135	2	2.05	-	.98	1.00E00	1.01E00
